Geneset	Genes
CMC Downregulated Genes	EIF3I
CMC Downregulated Genes	NEUROD6
CMC Downregulated Genes	CDCA5
CMC Downregulated Genes	DCTN3
CMC Downregulated Genes	SLC30A9
CMC Downregulated Genes	EPHB1
CMC Downregulated Genes	NFKBIE
CMC Downregulated Genes	CYP24A1
CMC Downregulated Genes	VDAC1
CMC Downregulated Genes	DIRAS1
CMC Downregulated Genes	SLIRP
CMC Downregulated Genes	BDKRB2
CMC Downregulated Genes	PHKG2
CMC Downregulated Genes	SLC39A9
CMC Downregulated Genes	CDC5L
CMC Downregulated Genes	FREM2
CMC Downregulated Genes	PDGFRA
CMC Downregulated Genes	SLC41A3
CMC Downregulated Genes	SUCLG1
CMC Downregulated Genes	YIPF1
CMC Downregulated Genes	CNRIP1
CMC Downregulated Genes	LANCL2
CMC Downregulated Genes	NLK
CMC Downregulated Genes	HAX1
CMC Downregulated Genes	COPS3
CMC Downregulated Genes	TMEFF1
CMC Downregulated Genes	CHRNA2
CMC Downregulated Genes	DDX10
CMC Downregulated Genes	VPS41
CMC Downregulated Genes	NGRN
CMC Downregulated Genes	CPNE9
CMC Downregulated Genes	CHRDL1
CMC Downregulated Genes	EIF4E2
CMC Downregulated Genes	LNX1
CMC Downregulated Genes	ZNF728
CMC Downregulated Genes	ASB13
CMC Downregulated Genes	SYNDIG1
CMC Downregulated Genes	COPS4
CMC Downregulated Genes	ABRACL
CMC Downregulated Genes	FDX2
CMC Downregulated Genes	PODXL2
CMC Downregulated Genes	NDUFAF4
CMC Downregulated Genes	GPN1
CMC Downregulated Genes	HMGCS1
CMC Downregulated Genes	YME1L1
CMC Downregulated Genes	PANX1
CMC Downregulated Genes	ASIC4
CMC Downregulated Genes	DLL3
CMC Downregulated Genes	GID8
CMC Downregulated Genes	ILF2
CMC Downregulated Genes	SPC24
CMC Downregulated Genes	DNAJA3
CMC Downregulated Genes	ACTR3B
CMC Downregulated Genes	GABRD
CMC Downregulated Genes	ADIPOR1
CMC Downregulated Genes	SLC25A33
CMC Downregulated Genes	UST
CMC Downregulated Genes	GLDC
CMC Downregulated Genes	HTR2A
CMC Downregulated Genes	RAB3B
CMC Downregulated Genes	LRRN3
CMC Downregulated Genes	TMEM106C
CMC Downregulated Genes	CD38
CMC Downregulated Genes	LINC00461
CMC Downregulated Genes	LRGUK
CMC Downregulated Genes	CA4
CMC Downregulated Genes	FLAD1
CMC Downregulated Genes	EMC7
CMC Downregulated Genes	ALDH1B1
CMC Downregulated Genes	XPO7
CMC Downregulated Genes	RRP36
CMC Downregulated Genes	BOD1
CMC Downregulated Genes	PROX1-AS1
CMC Downregulated Genes	KAZALD1
CMC Downregulated Genes	COPS7A
CMC Downregulated Genes	PITPNC1
CMC Downregulated Genes	CERK
CMC Downregulated Genes	SLC25A4
CMC Downregulated Genes	PTPA
CMC Downregulated Genes	FOXN3-AS1
CMC Downregulated Genes	LSM1
CMC Downregulated Genes	ENTPD4
CMC Downregulated Genes	RABL3
CMC Downregulated Genes	ME2
CMC Downregulated Genes	ABCC12
CMC Downregulated Genes	AKT3
CMC Downregulated Genes	PSMG3
CMC Downregulated Genes	ATP2C1
CMC Downregulated Genes	JAM2
CMC Downregulated Genes	HSPA9
CMC Downregulated Genes	IPO5
CMC Downregulated Genes	TMIE
CMC Downregulated Genes	TMEM97
CMC Downregulated Genes	MRPL33
CMC Downregulated Genes	EDNRA
CMC Downregulated Genes	HDAC8
CMC Downregulated Genes	CCM2
CMC Downregulated Genes	TBC1D9
CMC Downregulated Genes	PHF14
CMC Downregulated Genes	IGF1
CMC Downregulated Genes	C1orf50
CMC Downregulated Genes	AGGF1
CMC Downregulated Genes	LRRC59
CMC Downregulated Genes	MRPL28
CMC Downregulated Genes	SNX25
CMC Downregulated Genes	CHMP3
CMC Downregulated Genes	UBA2
CMC Downregulated Genes	KCNMB2
CMC Downregulated Genes	MEA1
CMC Downregulated Genes	ATOH7
CMC Downregulated Genes	DGCR5
CMC Downregulated Genes	FAM20B
CMC Downregulated Genes	ISCA1
CMC Downregulated Genes	MRPL36
CMC Downregulated Genes	RFPL2
CMC Downregulated Genes	NQO2
CMC Downregulated Genes	CENPBD1P1
CMC Downregulated Genes	CDK14
CMC Downregulated Genes	BTBD1
CMC Downregulated Genes	TNFAIP1
CMC Downregulated Genes	PMS2CL
CMC Downregulated Genes	SF3B5
CMC Downregulated Genes	PDHB
CMC Downregulated Genes	ZDHHC4
CMC Downregulated Genes	NABP2
CMC Downregulated Genes	NCALD
CMC Downregulated Genes	TMEM200A
CMC Downregulated Genes	UBE2Q1
CMC Downregulated Genes	MIR7-3HG
CMC Downregulated Genes	C14orf119
CMC Downregulated Genes	IMP4
CMC Downregulated Genes	C16orf91
CMC Downregulated Genes	PTDSS1
CMC Downregulated Genes	ZNF48
CMC Downregulated Genes	ABI1
CMC Downregulated Genes	GALNT14
CMC Downregulated Genes	RIMKLA
CMC Downregulated Genes	AZIN1
CMC Downregulated Genes	SULT4A1
CMC Downregulated Genes	ACOT13
CMC Downregulated Genes	PSMC1
CMC Downregulated Genes	AZIN2
CMC Downregulated Genes	GMPR2
CMC Downregulated Genes	MIEF1
CMC Downregulated Genes	LRP8
CMC Downregulated Genes	LMO4
CMC Downregulated Genes	AKTIP
CMC Downregulated Genes	PDCD2L
CMC Downregulated Genes	EIF4A2
CMC Downregulated Genes	VLDLR
CMC Downregulated Genes	RPP25
CMC Downregulated Genes	BEX5
CMC Downregulated Genes	MORN2
CMC Downregulated Genes	CITED1
CMC Downregulated Genes	MGAT4C
CMC Downregulated Genes	TP53BP1
CMC Downregulated Genes	TTC9B
CMC Downregulated Genes	PPCS
CMC Downregulated Genes	SLC25A15
CMC Downregulated Genes	INPP5A
CMC Downregulated Genes	NDUFA8
CMC Downregulated Genes	TMEM223
CMC Downregulated Genes	NAXE
CMC Downregulated Genes	ARFIP2
CMC Downregulated Genes	MRM2
CMC Downregulated Genes	WASF3
CMC Downregulated Genes	TUBA1B
CMC Downregulated Genes	HERC1
CMC Downregulated Genes	ZNF576
CMC Downregulated Genes	RNF8
CMC Downregulated Genes	RHNO1
CMC Downregulated Genes	FREM3
CMC Downregulated Genes	GRIK3
CMC Downregulated Genes	HACD3
CMC Downregulated Genes	RPUSD4
CMC Downregulated Genes	TRBC2
CMC Downregulated Genes	RNF41
CMC Downregulated Genes	KIF3B
CMC Downregulated Genes	OSTN
CMC Downregulated Genes	CFAP20
CMC Downregulated Genes	ATXN7L3B
CMC Downregulated Genes	ATP23
CMC Downregulated Genes	SMIM12
CMC Downregulated Genes	ZNF554
CMC Downregulated Genes	RPL6
CMC Downregulated Genes	MRPL16
CMC Downregulated Genes	VPS35
CMC Downregulated Genes	RPRD1B
CMC Downregulated Genes	TUBB2A
CMC Downregulated Genes	ETF1
CMC Downregulated Genes	TNFAIP8L1
CMC Downregulated Genes	FAT3
CMC Downregulated Genes	TNPO3
CMC Downregulated Genes	KIF9
CMC Downregulated Genes	PPP1CA
CMC Downregulated Genes	UBAC1
CMC Downregulated Genes	SERINC3
CMC Downregulated Genes	BAP1
CMC Downregulated Genes	MPO
CMC Downregulated Genes	AMN1
CMC Downregulated Genes	ZFYVE9
CMC Downregulated Genes	MAD2L1BP
CMC Downregulated Genes	COX7A2
CMC Downregulated Genes	YARS2
CMC Downregulated Genes	NOG
CMC Downregulated Genes	TOMM70
CMC Downregulated Genes	GABARAPL1
CMC Downregulated Genes	PSMB5
CMC Downregulated Genes	MAPK10
CMC Downregulated Genes	NIPA2
CMC Downregulated Genes	HRAS
CMC Downregulated Genes	EIF4G2
CMC Downregulated Genes	DLEU7
CMC Downregulated Genes	GNB1
CMC Downregulated Genes	LINC01511
CMC Downregulated Genes	MRPL1
CMC Downregulated Genes	LINC01476
CMC Downregulated Genes	B3GALT1
CMC Downregulated Genes	MRPS12
CMC Downregulated Genes	COPS8
CMC Downregulated Genes	MYL12B
CMC Downregulated Genes	FBXO34
CMC Downregulated Genes	STK16
CMC Downregulated Genes	PFKM
CMC Downregulated Genes	RCN1
CMC Downregulated Genes	TUSC2
CMC Downregulated Genes	PSMC3
CMC Downregulated Genes	MED8
CMC Downregulated Genes	PLEKHB2
CMC Downregulated Genes	KIAA0319L
CMC Downregulated Genes	VPS50
CMC Downregulated Genes	POLDIP2
CMC Downregulated Genes	CREB3
CMC Downregulated Genes	EXOC4
CMC Downregulated Genes	MMD
CMC Downregulated Genes	KLHL12
CMC Downregulated Genes	AFG3L2
CMC Downregulated Genes	SLC4A1AP
CMC Downregulated Genes	MTCH1
CMC Downregulated Genes	GFM2
CMC Downregulated Genes	FAM149A
CMC Downregulated Genes	VDAC2
CMC Downregulated Genes	RGS14
CMC Downregulated Genes	AP3M2
CMC Downregulated Genes	SEMA3G
CMC Downregulated Genes	TAGLN3
CMC Downregulated Genes	IGFBPL1
CMC Downregulated Genes	GHITM
CMC Downregulated Genes	PHYH
CMC Downregulated Genes	FAM120AOS
CMC Downregulated Genes	PSEN2
CMC Downregulated Genes	ARHGEF25
CMC Downregulated Genes	ABCC11
CMC Downregulated Genes	GJB5
CMC Downregulated Genes	RIPPLY2
CMC Downregulated Genes	CDH8
CMC Downregulated Genes	YIPF5
CMC Downregulated Genes	UQCRH
CMC Downregulated Genes	GPCPD1
CMC Downregulated Genes	FIBP
CMC Downregulated Genes	MTIF2
CMC Downregulated Genes	PPP1R14C
CMC Downregulated Genes	MED31
CMC Downregulated Genes	GBA2
CMC Downregulated Genes	PRSS3
CMC Downregulated Genes	GAD2
CMC Downregulated Genes	PRPH2
CMC Downregulated Genes	RIMS1
CMC Downregulated Genes	NECAP1
CMC Downregulated Genes	DPM1
CMC Downregulated Genes	MRPL3
CMC Downregulated Genes	UBE3C
CMC Downregulated Genes	FAR2P2
CMC Downregulated Genes	SUPT4H1
CMC Downregulated Genes	RTCA
CMC Downregulated Genes	FBXW11
CMC Downregulated Genes	RND2
CMC Downregulated Genes	NOP9
CMC Downregulated Genes	CLPTM1L
CMC Downregulated Genes	HSPA8
CMC Downregulated Genes	SDSL
CMC Downregulated Genes	NTM
CMC Downregulated Genes	RNF128
CMC Downregulated Genes	TMEM242
CMC Downregulated Genes	BABAM1
CMC Downregulated Genes	GPR17
CMC Downregulated Genes	DNAL1
CMC Downregulated Genes	YJEFN3
CMC Downregulated Genes	ADPGK-AS1
CMC Downregulated Genes	C2orf80
CMC Downregulated Genes	BRINP3
CMC Downregulated Genes	SAMD15
CMC Downregulated Genes	NDUFB2
CMC Downregulated Genes	MCTS1
CMC Downregulated Genes	LINC00652
CMC Downregulated Genes	EAF1
CMC Downregulated Genes	COX5A
CMC Downregulated Genes	CYP2C19
CMC Downregulated Genes	SDHB
CMC Downregulated Genes	EDN3
CMC Downregulated Genes	TM7SF2
CMC Downregulated Genes	NEU1
CMC Downregulated Genes	ITFG1
CMC Downregulated Genes	HABP4
CMC Downregulated Genes	CHL1-AS2
CMC Downregulated Genes	MRPL9
CMC Downregulated Genes	SUMO1
CMC Downregulated Genes	LINC00237
CMC Downregulated Genes	LYRM1
CMC Downregulated Genes	NOMO1
CMC Downregulated Genes	CENPV
CMC Downregulated Genes	CRHBP
CMC Downregulated Genes	CCNE1
CMC Downregulated Genes	SEMA5A
CMC Downregulated Genes	PSMC1P1
CMC Downregulated Genes	MPI
CMC Downregulated Genes	SUSD1
CMC Downregulated Genes	FAXC
CMC Downregulated Genes	PPIP5K1
CMC Downregulated Genes	LRRC49
CMC Downregulated Genes	SLC17A8
CMC Downregulated Genes	MEIS3P1
CMC Downregulated Genes	SRRD
CMC Downregulated Genes	PWP1
CMC Downregulated Genes	ACTN2
CMC Downregulated Genes	C15orf65
CMC Downregulated Genes	TBCA
CMC Downregulated Genes	UQCC1
CMC Downregulated Genes	NPM3
CMC Downregulated Genes	PTX3
CMC Downregulated Genes	ATP6V1G2
CMC Downregulated Genes	MRPL57
CMC Downregulated Genes	HOMER1
CMC Downregulated Genes	COX7A2L
CMC Downregulated Genes	ST6GALNAC6
CMC Downregulated Genes	MRPL44
CMC Downregulated Genes	PFDN1
CMC Downregulated Genes	CALM1
CMC Downregulated Genes	ROGDI
CMC Downregulated Genes	ARPP19
CMC Downregulated Genes	PIN1
CMC Downregulated Genes	FAT1
CMC Downregulated Genes	AKAIN1
CMC Downregulated Genes	HENMT1
CMC Downregulated Genes	NHP2
CMC Downregulated Genes	PLK2
CMC Downregulated Genes	AK6
CMC Downregulated Genes	UBFD1
CMC Downregulated Genes	SPA17
CMC Downregulated Genes	TMEM150C
CMC Downregulated Genes	FAM110B
CMC Downregulated Genes	DNAJC5
CMC Downregulated Genes	SERP2
CMC Downregulated Genes	ZFHX4-AS1
CMC Downregulated Genes	MXRA7
CMC Downregulated Genes	B4GALT5
CMC Downregulated Genes	TMEM50A
CMC Downregulated Genes	SMKR1
CMC Downregulated Genes	NQO1
CMC Downregulated Genes	LGALS1
CMC Downregulated Genes	SKP1
CMC Downregulated Genes	NDUFA12
CMC Downregulated Genes	CDK20
CMC Downregulated Genes	FAM216A
CMC Downregulated Genes	NNAT
CMC Downregulated Genes	GALNT9
CMC Downregulated Genes	FAM131A
CMC Downregulated Genes	CHST2
CMC Downregulated Genes	BSCL2
CMC Downregulated Genes	RRAD
CMC Downregulated Genes	OR14I1
CMC Downregulated Genes	ALDH1A1
CMC Downregulated Genes	EIF2S1
CMC Downregulated Genes	DCLK3
CMC Downregulated Genes	PTPRM
CMC Downregulated Genes	MRPS15
CMC Downregulated Genes	TIMM50
CMC Downregulated Genes	MTFMT
CMC Downregulated Genes	RNF175
CMC Downregulated Genes	SMIM10L2A
CMC Downregulated Genes	USP9X
CMC Downregulated Genes	LIAS
CMC Downregulated Genes	RNF4
CMC Downregulated Genes	KLHL8
CMC Downregulated Genes	EPHA4
CMC Downregulated Genes	ASPHD1
CMC Downregulated Genes	ATG16L1
CMC Downregulated Genes	SLC1A1
CMC Downregulated Genes	ADCY2
CMC Downregulated Genes	SMS
CMC Downregulated Genes	DDB1
CMC Downregulated Genes	SNAPIN
CMC Downregulated Genes	BUD31
CMC Downregulated Genes	COQ7
CMC Downregulated Genes	NLRP1
CMC Downregulated Genes	TDRKH
CMC Downregulated Genes	KCTD17
CMC Downregulated Genes	RPA3
CMC Downregulated Genes	IPO7
CMC Downregulated Genes	CTNNB1
CMC Downregulated Genes	FAM136A
CMC Downregulated Genes	PREP
CMC Downregulated Genes	DCTPP1
CMC Downregulated Genes	CHMP5
CMC Downregulated Genes	ZKSCAN5
CMC Downregulated Genes	NDST4
CMC Downregulated Genes	MYLK2
CMC Downregulated Genes	RAD23B
CMC Downregulated Genes	SERGEF
CMC Downregulated Genes	PKM
CMC Downregulated Genes	ARHGEF9
CMC Downregulated Genes	SCFD2
CMC Downregulated Genes	SMYD2
CMC Downregulated Genes	ROBO2
CMC Downregulated Genes	FUNDC2
CMC Downregulated Genes	GRPEL1
CMC Downregulated Genes	DCTD
CMC Downregulated Genes	ACP1
CMC Downregulated Genes	GDAP1L1
CMC Downregulated Genes	BAALC
CMC Downregulated Genes	STX18
CMC Downregulated Genes	DKK2
CMC Downregulated Genes	TOX4
CMC Downregulated Genes	RTN2
CMC Downregulated Genes	CYP26A1
CMC Downregulated Genes	WNK3
CMC Downregulated Genes	STK24
CMC Downregulated Genes	RGS6
CMC Downregulated Genes	METTL9
CMC Downregulated Genes	APBB1
CMC Downregulated Genes	SLC8A3
CMC Downregulated Genes	MAGI1
CMC Downregulated Genes	ERICH6-AS1
CMC Downregulated Genes	PDHA1
CMC Downregulated Genes	MAP1LC3A
CMC Downregulated Genes	TSR1
CMC Downregulated Genes	DGUOK
CMC Downregulated Genes	GALE
CMC Downregulated Genes	TXN
CMC Downregulated Genes	PRTG
CMC Downregulated Genes	TCEAL2
CMC Downregulated Genes	PIH1D1
CMC Downregulated Genes	KLK5
CMC Downregulated Genes	INHBA
CMC Downregulated Genes	FAM210B
CMC Downregulated Genes	RAN
CMC Downregulated Genes	LINC00672
CMC Downregulated Genes	PSMB7
CMC Downregulated Genes	PMM1
CMC Downregulated Genes	NALCN
CMC Downregulated Genes	TMEM141
CMC Downregulated Genes	RTN4
CMC Downregulated Genes	EAPP
CMC Downregulated Genes	HTRA2
CMC Downregulated Genes	NDUFB11
CMC Downregulated Genes	CCDC43
CMC Downregulated Genes	AARD
CMC Downregulated Genes	CNIH3
CMC Downregulated Genes	MRPL35
CMC Downregulated Genes	OR8T1P
CMC Downregulated Genes	BCAS2
CMC Downregulated Genes	DRG1
CMC Downregulated Genes	TCP1
CMC Downregulated Genes	MTRF1L
CMC Downregulated Genes	IGSF3
CMC Downregulated Genes	R3HCC1
CMC Downregulated Genes	MKKS
CMC Downregulated Genes	RAP1GDS1
CMC Downregulated Genes	ACSL4
CMC Downregulated Genes	HPSE2
CMC Downregulated Genes	MATK
CMC Downregulated Genes	TEX29
CMC Downregulated Genes	ZNF667-AS1
CMC Downregulated Genes	TYRO3
CMC Downregulated Genes	CLTB
CMC Downregulated Genes	CMSS1
CMC Downregulated Genes	CFAP36
CMC Downregulated Genes	NME1
CMC Downregulated Genes	KDM4A
CMC Downregulated Genes	GALNT18
CMC Downregulated Genes	ARF5
CMC Downregulated Genes	TXNL4A
CMC Downregulated Genes	RERGL
CMC Downregulated Genes	GLRX3
CMC Downregulated Genes	NPY2R
CMC Downregulated Genes	CUEDC2
CMC Downregulated Genes	KIF23
CMC Downregulated Genes	CAMKV
CMC Downregulated Genes	NKAPL
CMC Downregulated Genes	SUB1
CMC Downregulated Genes	CNTNAP5
CMC Downregulated Genes	TFIP11
CMC Downregulated Genes	HPCA
CMC Downregulated Genes	FAM162A
CMC Downregulated Genes	BZW2
CMC Downregulated Genes	GNG3
CMC Downregulated Genes	PREX2
CMC Downregulated Genes	BEND6
CMC Downregulated Genes	ATMIN
CMC Downregulated Genes	GALNT13
CMC Downregulated Genes	POP7
CMC Downregulated Genes	CHCHD6
CMC Downregulated Genes	STMN2
CMC Downregulated Genes	MPC2
CMC Downregulated Genes	SCFD1
CMC Downregulated Genes	STRAP
CMC Downregulated Genes	MRPS9
CMC Downregulated Genes	TMEM177
CMC Downregulated Genes	PLRG1
CMC Downregulated Genes	LIN7B
CMC Downregulated Genes	PANK2
CMC Downregulated Genes	PPP2R5D
CMC Downregulated Genes	KCTD20
CMC Downregulated Genes	NDUFAF5
CMC Downregulated Genes	NDUFB3
CMC Downregulated Genes	SNU13
CMC Downregulated Genes	CALU
CMC Downregulated Genes	SMIM20
CMC Downregulated Genes	MRPL58
CMC Downregulated Genes	LSM3
CMC Downregulated Genes	ADSL
CMC Downregulated Genes	RERG
CMC Downregulated Genes	NDUFAB1
CMC Downregulated Genes	BDNF
CMC Downregulated Genes	ARMCX3
CMC Downregulated Genes	DHDDS
CMC Downregulated Genes	COX6A1P2
CMC Downregulated Genes	PPIF
CMC Downregulated Genes	NSG1
CMC Downregulated Genes	MCHR2
CMC Downregulated Genes	MRPS33
CMC Downregulated Genes	LYSMD2
CMC Downregulated Genes	RNF34
CMC Downregulated Genes	STX1A
CMC Downregulated Genes	NANOS3
CMC Downregulated Genes	BCL2L2
CMC Downregulated Genes	SCNM1
CMC Downregulated Genes	RNF185
CMC Downregulated Genes	OSBP
CMC Downregulated Genes	SLC4A7
CMC Downregulated Genes	ECHS1
CMC Downregulated Genes	MRPL17
CMC Downregulated Genes	BTBD17
CMC Downregulated Genes	CNTN1
CMC Downregulated Genes	CNN1
CMC Downregulated Genes	SNAP47
CMC Downregulated Genes	POLR2D
CMC Downregulated Genes	OTOGL
CMC Downregulated Genes	VPS8
CMC Downregulated Genes	SOWAHB
CMC Downregulated Genes	SPHKAP
CMC Downregulated Genes	FAM210A
CMC Downregulated Genes	DPCD
CMC Downregulated Genes	TANGO2
CMC Downregulated Genes	ITPKA
CMC Downregulated Genes	EEF1AKMT1
CMC Downregulated Genes	PRELID1
CMC Downregulated Genes	LYPD6B
CMC Downregulated Genes	C1orf53
CMC Downregulated Genes	NMT1
CMC Downregulated Genes	NIPAL3
CMC Downregulated Genes	C12orf57
CMC Downregulated Genes	ANAPC1
CMC Downregulated Genes	BFAR
CMC Downregulated Genes	VAPB
CMC Downregulated Genes	NDUFS6
CMC Downregulated Genes	MGLL
CMC Downregulated Genes	MAGEH1
CMC Downregulated Genes	UBB
CMC Downregulated Genes	MAK16
CMC Downregulated Genes	OLA1
CMC Downregulated Genes	C18orf21
CMC Downregulated Genes	RABEPK
CMC Downregulated Genes	PMS2
CMC Downregulated Genes	ASS1
CMC Downregulated Genes	PRKCB
CMC Downregulated Genes	KCNF1
CMC Downregulated Genes	POLR2L
CMC Downregulated Genes	TSPAN17
CMC Downregulated Genes	GEMIN2
CMC Downregulated Genes	KCMF1
CMC Downregulated Genes	TCTA
CMC Downregulated Genes	OSBPL1A
CMC Downregulated Genes	KAT14
CMC Downregulated Genes	GALNT2
CMC Downregulated Genes	NRXN1
CMC Downregulated Genes	C1orf216
CMC Downregulated Genes	ZPR1
CMC Downregulated Genes	PSMB6
CMC Downregulated Genes	RASL10A
CMC Downregulated Genes	TMEM200C
CMC Downregulated Genes	MPPED1
CMC Downregulated Genes	PRPS1
CMC Downregulated Genes	PNPLA4
CMC Downregulated Genes	VRK3
CMC Downregulated Genes	ALG14
CMC Downregulated Genes	KDM1A
CMC Downregulated Genes	TMEM178B
CMC Downregulated Genes	PID1
CMC Downregulated Genes	DTD1
CMC Downregulated Genes	EHHADH
CMC Downregulated Genes	COX4I1
CMC Downregulated Genes	COX8A
CMC Downregulated Genes	LZTFL1
CMC Downregulated Genes	VAMP7
CMC Downregulated Genes	KCTD2
CMC Downregulated Genes	SIPA1L2
CMC Downregulated Genes	FIP1L1
CMC Downregulated Genes	MRPS22
CMC Downregulated Genes	CCNB1
CMC Downregulated Genes	PRSS35
CMC Downregulated Genes	UBAC2
CMC Downregulated Genes	DDX28
CMC Downregulated Genes	SCO1
CMC Downregulated Genes	DIS3L
CMC Downregulated Genes	NNT
CMC Downregulated Genes	ZDHHC3
CMC Downregulated Genes	BAG1
CMC Downregulated Genes	XPR1
CMC Downregulated Genes	SERF1B
CMC Downregulated Genes	SUCLA2
CMC Downregulated Genes	MAL2
CMC Downregulated Genes	PINK1
CMC Downregulated Genes	PPP5C
CMC Downregulated Genes	BPGM
CMC Downregulated Genes	STUB1
CMC Downregulated Genes	MRAP2
CMC Downregulated Genes	TMEM205
CMC Downregulated Genes	MKRN1
CMC Downregulated Genes	UTP14C
CMC Downregulated Genes	MRPL18
CMC Downregulated Genes	RPUSD2
CMC Downregulated Genes	AGMAT
CMC Downregulated Genes	UBE2D2
CMC Downregulated Genes	HDDC3
CMC Downregulated Genes	ZNF821
CMC Downregulated Genes	PLEKHO1
CMC Downregulated Genes	TPTE2
CMC Downregulated Genes	SLC25A11
CMC Downregulated Genes	GLT8D1
CMC Downregulated Genes	PRSS16
CMC Downregulated Genes	ASB8
CMC Downregulated Genes	PPP2R2D
CMC Downregulated Genes	CLINT1
CMC Downregulated Genes	KHDC1
CMC Downregulated Genes	YIF1B
CMC Downregulated Genes	CCNDBP1
CMC Downregulated Genes	MRFAP1
CMC Downregulated Genes	KCNIP3
CMC Downregulated Genes	NUDT14
CMC Downregulated Genes	UQCRC2
CMC Downregulated Genes	SDAD1
CMC Downregulated Genes	SLC1A2
CMC Downregulated Genes	RTP1
CMC Downregulated Genes	ARL16
CMC Downregulated Genes	AMZ2P1
CMC Downregulated Genes	LIG4
CMC Downregulated Genes	CHN1
CMC Downregulated Genes	NUDT16
CMC Downregulated Genes	ARHGEF12
CMC Downregulated Genes	ST3GAL5
CMC Downregulated Genes	AMDHD1
CMC Downregulated Genes	RNF25
CMC Downregulated Genes	URB1-AS1
CMC Downregulated Genes	PTRHD1
CMC Downregulated Genes	PLPPR4
CMC Downregulated Genes	UBL7
CMC Downregulated Genes	HRC
CMC Downregulated Genes	ELP6
CMC Downregulated Genes	SDR16C5
CMC Downregulated Genes	SRP14
CMC Downregulated Genes	HSPBP1
CMC Downregulated Genes	GTF3A
CMC Downregulated Genes	MON1A
CMC Downregulated Genes	TCEAL4
CMC Downregulated Genes	FAHD1
CMC Downregulated Genes	CISD1
CMC Downregulated Genes	B4GALT3
CMC Downregulated Genes	SYP
CMC Downregulated Genes	NGB
CMC Downregulated Genes	SLC16A14
CMC Downregulated Genes	ARPC2
CMC Downregulated Genes	TRMT10C
CMC Downregulated Genes	TM2D2
CMC Downregulated Genes	UQCRQ
CMC Downregulated Genes	TWF2
CMC Downregulated Genes	C9orf16
CMC Downregulated Genes	C1QTNF2
CMC Downregulated Genes	CIAO1
CMC Downregulated Genes	PDE3A
CMC Downregulated Genes	PDHX
CMC Downregulated Genes	SRD5A1
CMC Downregulated Genes	GSTA4
CMC Downregulated Genes	PDE6D
CMC Downregulated Genes	ARPC4
CMC Downregulated Genes	TIMM10B
CMC Downregulated Genes	MRM3
CMC Downregulated Genes	ACP2
CMC Downregulated Genes	CCT8
CMC Downregulated Genes	LAMTOR2
CMC Downregulated Genes	PJA1
CMC Downregulated Genes	TRIM16L
CMC Downregulated Genes	KIAA0100
CMC Downregulated Genes	B3GALT6
CMC Downregulated Genes	ZMAT4
CMC Downregulated Genes	HDAC9
CMC Downregulated Genes	EBNA1BP2
CMC Downregulated Genes	EIF4H
CMC Downregulated Genes	TMX2P1
CMC Downregulated Genes	GPR162
CMC Downregulated Genes	TPM1
CMC Downregulated Genes	MAN1A2
CMC Downregulated Genes	EPHA3
CMC Downregulated Genes	VSTM2L
CMC Downregulated Genes	RMND1
CMC Downregulated Genes	GNG4
CMC Downregulated Genes	DENR
CMC Downregulated Genes	POLR2B
CMC Downregulated Genes	XKR4
CMC Downregulated Genes	GRIP1
CMC Downregulated Genes	KLHDC8B
CMC Downregulated Genes	SLC1A6
CMC Downregulated Genes	CPT2
CMC Downregulated Genes	MEIS2
CMC Downregulated Genes	PSMD4
CMC Downregulated Genes	SIRT5
CMC Downregulated Genes	FAM174A
CMC Downregulated Genes	TNFRSF18
CMC Downregulated Genes	MRPS23
CMC Downregulated Genes	PTTG1
CMC Downregulated Genes	ARMC10
CMC Downregulated Genes	WDR47
CMC Downregulated Genes	CSNK1A1
CMC Downregulated Genes	DEF8
CMC Downregulated Genes	FBLL1
CMC Downregulated Genes	HSPB3
CMC Downregulated Genes	TSTD1
CMC Downregulated Genes	SIAH2
CMC Downregulated Genes	FBXL15
CMC Downregulated Genes	CLCN3
CMC Downregulated Genes	BCHE
CMC Downregulated Genes	ARHGEF15
CMC Downregulated Genes	MRPS36
CMC Downregulated Genes	ISCA2
CMC Downregulated Genes	B3GALNT1
CMC Downregulated Genes	METTL1
CMC Downregulated Genes	MICU1
CMC Downregulated Genes	PGD
CMC Downregulated Genes	PEX11B
CMC Downregulated Genes	ELMOD1
CMC Downregulated Genes	DYNLL1
CMC Downregulated Genes	MRPL27
CMC Downregulated Genes	ATG7
CMC Downregulated Genes	ERI3
CMC Downregulated Genes	PLS3
CMC Downregulated Genes	TMEM126A
CMC Downregulated Genes	HSP90AB1
CMC Downregulated Genes	ZNF433
CMC Downregulated Genes	TAF11
CMC Downregulated Genes	NDUFA3
CMC Downregulated Genes	RPS19BP1
CMC Downregulated Genes	DNAJC18
CMC Downregulated Genes	CCND2
CMC Downregulated Genes	TIMM8A
CMC Downregulated Genes	DDOST
CMC Downregulated Genes	TIMM8B
CMC Downregulated Genes	MRTO4
CMC Downregulated Genes	GNAZ
CMC Downregulated Genes	DNAJC14
CMC Downregulated Genes	ZC3H15
CMC Downregulated Genes	MPG
CMC Downregulated Genes	C9orf24
CMC Downregulated Genes	SF3A3
CMC Downregulated Genes	ARPC5L
CMC Downregulated Genes	COPZ1
CMC Downregulated Genes	GSTT2
CMC Downregulated Genes	DMXL2
