Geneset	Genes
ROSMAP Downregulated Genes	C6orf141
ROSMAP Downregulated Genes	PKMP3
ROSMAP Downregulated Genes	RGS14
ROSMAP Downregulated Genes	PNMA5
ROSMAP Downregulated Genes	THPO
ROSMAP Downregulated Genes	DRAIC
ROSMAP Downregulated Genes	CBLN1
ROSMAP Downregulated Genes	RTP5
ROSMAP Downregulated Genes	PDE1A
ROSMAP Downregulated Genes	CACNA1I
ROSMAP Downregulated Genes	STOX2
ROSMAP Downregulated Genes	SYT17
ROSMAP Downregulated Genes	TH
ROSMAP Downregulated Genes	FAM200A
ROSMAP Downregulated Genes	DNAH6
ROSMAP Downregulated Genes	PARD6G-AS1
ROSMAP Downregulated Genes	EPHB2
ROSMAP Downregulated Genes	KCNJ9
ROSMAP Downregulated Genes	PLPPR2
ROSMAP Downregulated Genes	LINC00643
ROSMAP Downregulated Genes	CDK5R1
ROSMAP Downregulated Genes	RSPH9
ROSMAP Downregulated Genes	KCTD16
ROSMAP Downregulated Genes	HPCA
ROSMAP Downregulated Genes	ABCA17P
ROSMAP Downregulated Genes	MEST
ROSMAP Downregulated Genes	LINGO2
ROSMAP Downregulated Genes	FKBP1B
ROSMAP Downregulated Genes	MYT1L
ROSMAP Downregulated Genes	PITPNM2
ROSMAP Downregulated Genes	POLR1D
ROSMAP Downregulated Genes	PRRT1
ROSMAP Downregulated Genes	TRIM71
ROSMAP Downregulated Genes	CAMK2N1
ROSMAP Downregulated Genes	CACNB3
ROSMAP Downregulated Genes	SIMC1
ROSMAP Downregulated Genes	NPY1R
ROSMAP Downregulated Genes	PDE2A
ROSMAP Downregulated Genes	PGM2L1
ROSMAP Downregulated Genes	CEP41
ROSMAP Downregulated Genes	RBM10
ROSMAP Downregulated Genes	ZCCHC18
ROSMAP Downregulated Genes	RGS17
ROSMAP Downregulated Genes	GRM2
ROSMAP Downregulated Genes	CAMKV
ROSMAP Downregulated Genes	DTWD1
ROSMAP Downregulated Genes	MEX3B
ROSMAP Downregulated Genes	ZNF702P
ROSMAP Downregulated Genes	RAPGEFL1
ROSMAP Downregulated Genes	PRKCB
ROSMAP Downregulated Genes	GRIA1
ROSMAP Downregulated Genes	SH3PXD2A
ROSMAP Downregulated Genes	BTBD9
ROSMAP Downregulated Genes	PEG10
ROSMAP Downregulated Genes	CX3CL1
ROSMAP Downregulated Genes	SHISA7
ROSMAP Downregulated Genes	MMD
ROSMAP Downregulated Genes	CYP4F35P
ROSMAP Downregulated Genes	DRD1
ROSMAP Downregulated Genes	NHSL2
ROSMAP Downregulated Genes	HRH3
ROSMAP Downregulated Genes	CDC6
ROSMAP Downregulated Genes	RTN4R
ROSMAP Downregulated Genes	ACE
ROSMAP Downregulated Genes	WSCD2
ROSMAP Downregulated Genes	MAPK1
ROSMAP Downregulated Genes	MIR137HG
ROSMAP Downregulated Genes	STUM
ROSMAP Downregulated Genes	SCN3A
ROSMAP Downregulated Genes	PCDH19
ROSMAP Downregulated Genes	NOVA2
ROSMAP Downregulated Genes	CCDC74B
ROSMAP Downregulated Genes	C16orf70
ROSMAP Downregulated Genes	ELFN2
ROSMAP Downregulated Genes	CYFIP2
ROSMAP Downregulated Genes	TMEM178A
ROSMAP Downregulated Genes	KSR2
ROSMAP Downregulated Genes	ATF7IP2
ROSMAP Downregulated Genes	HIC2
ROSMAP Downregulated Genes	SCN2A
ROSMAP Downregulated Genes	IMPG1
ROSMAP Downregulated Genes	DLG4
ROSMAP Downregulated Genes	SPAG5
ROSMAP Downregulated Genes	ARHGEF25
ROSMAP Downregulated Genes	WFDC2
ROSMAP Downregulated Genes	ZNF827
ROSMAP Downregulated Genes	NEUROD1
ROSMAP Downregulated Genes	KCNJ6
ROSMAP Downregulated Genes	CPNE6
ROSMAP Downregulated Genes	LINC01551
ROSMAP Downregulated Genes	PCDH7
ROSMAP Downregulated Genes	GRIN2B
ROSMAP Downregulated Genes	LY86-AS1
ROSMAP Downregulated Genes	ZNF248
ROSMAP Downregulated Genes	CACNG3
ROSMAP Downregulated Genes	OR14I1
ROSMAP Downregulated Genes	VPS13A
ROSMAP Downregulated Genes	ASXL3
ROSMAP Downregulated Genes	IQSEC2
ROSMAP Downregulated Genes	PLGLB1
ROSMAP Downregulated Genes	CCDC30
ROSMAP Downregulated Genes	GPR88
ROSMAP Downregulated Genes	PIANP
ROSMAP Downregulated Genes	LTK
ROSMAP Downregulated Genes	C19orf12
ROSMAP Downregulated Genes	TMEM74B
ROSMAP Downregulated Genes	KNCN
ROSMAP Downregulated Genes	FBXO10
ROSMAP Downregulated Genes	UNC5B-AS1
ROSMAP Downregulated Genes	CCDC92
ROSMAP Downregulated Genes	TP53AIP1
ROSMAP Downregulated Genes	MC1R
ROSMAP Downregulated Genes	ACVR2A
ROSMAP Downregulated Genes	TBC1D26
ROSMAP Downregulated Genes	PSD3
ROSMAP Downregulated Genes	FKBP1A
ROSMAP Downregulated Genes	FSD1L
ROSMAP Downregulated Genes	CDKL5
ROSMAP Downregulated Genes	ANKRD13B
Mavrikaki et al. Upregulated Genes	SEMA3F
Mavrikaki et al. Upregulated Genes	SCIN
Mavrikaki et al. Upregulated Genes	DLEC1
Mavrikaki et al. Upregulated Genes	SLC11A1
Mavrikaki et al. Upregulated Genes	HGF
Mavrikaki et al. Upregulated Genes	CYP3A43
Mavrikaki et al. Upregulated Genes	CD44
Mavrikaki et al. Upregulated Genes	RNF19A
Mavrikaki et al. Upregulated Genes	CP
Mavrikaki et al. Upregulated Genes	ROS1
Mavrikaki et al. Upregulated Genes	HEBP2
Mavrikaki et al. Upregulated Genes	TRAF3IP2
Mavrikaki et al. Upregulated Genes	GYG2
Mavrikaki et al. Upregulated Genes	CHI3L2
Mavrikaki et al. Upregulated Genes	MAOB
Mavrikaki et al. Upregulated Genes	SMG6
Mavrikaki et al. Upregulated Genes	ALDH3A2
Mavrikaki et al. Upregulated Genes	XRCC1
Mavrikaki et al. Upregulated Genes	SPAG5
Mavrikaki et al. Upregulated Genes	GCKR
Mavrikaki et al. Upregulated Genes	OVGP1
Mavrikaki et al. Upregulated Genes	TFAP4
Mavrikaki et al. Upregulated Genes	SORBS1
Mavrikaki et al. Upregulated Genes	FKBP5
Mavrikaki et al. Upregulated Genes	PPM1F
Mavrikaki et al. Upregulated Genes	HPS4
Mavrikaki et al. Upregulated Genes	CDKL1
Mavrikaki et al. Upregulated Genes	GALNT16
Mavrikaki et al. Upregulated Genes	TPD52L2
Mavrikaki et al. Upregulated Genes	SLCO4A1
Mavrikaki et al. Upregulated Genes	MYOM1
Mavrikaki et al. Upregulated Genes	CEP192
Mavrikaki et al. Upregulated Genes	EEF2K
Mavrikaki et al. Upregulated Genes	SNRNP70
Mavrikaki et al. Upregulated Genes	JAK3
Mavrikaki et al. Upregulated Genes	HAMP
Mavrikaki et al. Upregulated Genes	WDR91
Mavrikaki et al. Upregulated Genes	HSPB1
Mavrikaki et al. Upregulated Genes	TMEM176B
Mavrikaki et al. Upregulated Genes	GLIS3
Mavrikaki et al. Upregulated Genes	WNT3
Mavrikaki et al. Upregulated Genes	RASD1
Mavrikaki et al. Upregulated Genes	EZH1
Mavrikaki et al. Upregulated Genes	MANBA
Mavrikaki et al. Upregulated Genes	OPRM1
Mavrikaki et al. Upregulated Genes	SLC16A10
Mavrikaki et al. Upregulated Genes	HGD
Mavrikaki et al. Upregulated Genes	NEK11
Mavrikaki et al. Upregulated Genes	PLSCR4
Mavrikaki et al. Upregulated Genes	SPR
Mavrikaki et al. Upregulated Genes	F3
Mavrikaki et al. Upregulated Genes	ARMC2
Mavrikaki et al. Upregulated Genes	DNAH7
Mavrikaki et al. Upregulated Genes	ABCD4
Mavrikaki et al. Upregulated Genes	RHOQ
Mavrikaki et al. Upregulated Genes	CLU
Mavrikaki et al. Upregulated Genes	TEX14
Mavrikaki et al. Upregulated Genes	COL21A1
Mavrikaki et al. Upregulated Genes	HS3ST3B1
Mavrikaki et al. Upregulated Genes	GPR108
Mavrikaki et al. Upregulated Genes	CEP250
Mavrikaki et al. Upregulated Genes	BEST3
Mavrikaki et al. Upregulated Genes	RIBC2
Mavrikaki et al. Upregulated Genes	BBOX1
Mavrikaki et al. Upregulated Genes	FOXJ1
Mavrikaki et al. Upregulated Genes	GDPD2
Mavrikaki et al. Upregulated Genes	LAMA5
Mavrikaki et al. Upregulated Genes	GFAP
Mavrikaki et al. Upregulated Genes	LGALS3
Mavrikaki et al. Upregulated Genes	SLC6A11
Mavrikaki et al. Upregulated Genes	TRIM22
Mavrikaki et al. Upregulated Genes	ITGB4
Mavrikaki et al. Upregulated Genes	MATN2
Mavrikaki et al. Upregulated Genes	ATP1A4
Mavrikaki et al. Upregulated Genes	CHI3L1
Mavrikaki et al. Upregulated Genes	PLAAT4
Mavrikaki et al. Upregulated Genes	DGLUCY
Mavrikaki et al. Upregulated Genes	GSTM5
Mavrikaki et al. Upregulated Genes	PSRC1
Mavrikaki et al. Upregulated Genes	DTNA
Mavrikaki et al. Upregulated Genes	APLNR
Mavrikaki et al. Upregulated Genes	NAT10
Mavrikaki et al. Upregulated Genes	SMYD5
Mavrikaki et al. Upregulated Genes	MYO1G
Mavrikaki et al. Upregulated Genes	CALCOCO2
Mavrikaki et al. Upregulated Genes	GMPR
Mavrikaki et al. Upregulated Genes	FGF2
Mavrikaki et al. Upregulated Genes	IGF1R
Mavrikaki et al. Upregulated Genes	ARRDC4
Mavrikaki et al. Upregulated Genes	RHCG
Mavrikaki et al. Upregulated Genes	RHBDL3
Mavrikaki et al. Upregulated Genes	MAP3K6
Mavrikaki et al. Upregulated Genes	S100A8
Mavrikaki et al. Upregulated Genes	ITPKB
Mavrikaki et al. Upregulated Genes	PPFIA4
Mavrikaki et al. Upregulated Genes	LRIG1
Mavrikaki et al. Upregulated Genes	ALDH1L1
Mavrikaki et al. Upregulated Genes	CENPC
Mavrikaki et al. Upregulated Genes	OSMR
Mavrikaki et al. Upregulated Genes	CCNB3
Mavrikaki et al. Upregulated Genes	ROM1
Mavrikaki et al. Upregulated Genes	CCDC102B
Mavrikaki et al. Upregulated Genes	HSPB8
Mavrikaki et al. Upregulated Genes	SYCP2L
Mavrikaki et al. Upregulated Genes	MCOLN2
Mavrikaki et al. Upregulated Genes	FLCN
